x,y,z
-3.7288,-0.0678,5.3074
-3.7288,0.0678,5.2407
-3.7288,0.2034,5.1735
-3.7288,0.3390,5.1066
-3.7288,0.4746,5.0410
-3.7288,0.6102,4.9776
-3.7288,0.7458,4.9175
-3.7288,0.8814,4.8621
-3.7288,1.0169,4.8123
-3.7288,1.1525,4.7695
-3.7288,1.2881,4.7348
-3.7288,1.4237,4.7091
-3.7288,1.5593,4.6935
-3.7288,1.6949,4.6886
-3.7288,1.8305,4.6951
-3.7288,1.9661,4.7134
-3.7288,2.1017,4.7435
-3.7288,2.2373,4.7856
-3.7288,2.3729,4.8392
-3.7288,2.5085,4.9039
-3.7288,2.6441,4.9790
-3.7288,2.7797,5.0638
-3.7288,2.9153,5.1571
-3.7288,3.0508,5.2579
-3.7288,3.1864,5.3651
-3.7288,3.3220,5.4775
-3.7288,3.4576,5.5939
-3.7288,3.5932,5.7131
-3.7288,3.7288,5.8340
-3.7288,3.8644,5.9557
-3.7288,4.0000,6.0773
-3.5932,-4.0000,6.6401
-3.5932,-3.8644,6.5859
-3.5932,-3.7288,6.5334
-3.5932,-3.5932,6.4825
-3.5932,-3.4576,6.4332
-3.5932,-3.3220,6.3854
-3.5932,-3.1864,6.3391
-3.5932,-3.0508,6.2941
-3.5932,-2.9153,6.2504
-3.5932,-2.7797,6.2078
-3.5932,-2.6441,6.1661
-3.5932,-2.5085,6.1253
-3.5932,-2.3729,6.0849
-3.5932,-2.2373,6.0449
-3.5932,-2.1017,6.0048
-3.5932,-1.9661,5.9645
-3.5932,-1.8305,5.9236
-3.5932,-1.6949,5.8817
-3.5932,-1.5593,5.8385
-3.5932,-1.4237,5.7936
-3.5932,-1.2881,5.7467
-3.5932,-1.1525,5.6975
-3.5932,-1.0169,5.6457
-3.5932,-0.8814,5.5910
-3.5932,-0.7458,5.5332
-3.5932,-0.6102,5.4725
-3.5932,-0.4746,5.4086
-3.5932,-0.3390,5.3420
-3.5932,-0.2034,5.2727
-3.5932,-0.0678,5.2014
-3.5932,0.0678,5.1286
-3.5932,0.2034,5.0550
-3.5932,0.3390,4.9815
-3.5932,0.4746,4.9092
-3.5932,0.6102,4.8392
-3.5932,0.7458,4.7727
-3.5932,0.8814,4.7110
-3.5932,1.0169,4.6554
-3.5932,1.1525,4.6073
-3.5932,1.2881,4.5677
-3.5932,1.4237,4.5379
-3.5932,1.5593,4.5190
-3.5932,1.6949,4.5116
-3.5932,1.8305,4.5165
-3.5932,1.9661,4.5340
-3.5932,2.1017,4.5645
-3.5932,2.2373,4.6077
-3.5932,2.3729,4.6634
-3.5932,2.5085,4.7311
-3.5932,2.6441,4.8100
-3.5932,2.7797,4.8993
-3.5932,2.9153,4.9978
-3.5932,3.0508,5.1043
-3.5932,3.1864,5.2177
-3.5932,3.3220,5.3365
-3.5932,3.4576,5.4595
-3.5932,3.5932,5.5854
-3.5932,3.7288,5.7131
-3.5932,3.8644,5.8414
-3.5932,4.0000,5.9694
-3.4576,-4.0000,6.5907
-3.4576,-3.8644,6.5363
-3.4576,-3.7288,6.4835
-3.4576,-3.5932,6.4324
-3.4576,-3.4576,6.3828
-3.4576,-3.3220,6.3348
-3.4576,-3.1864,6.2881
-3.4576,-3.0508,6.2428
-3.4576,-2.9153,6.1987
-3.4576,-2.7797,6.1557
-3.4576,-2.6441,6.1135
-3.4576,-2.5085,6.0721
-3.4576,-2.3729,6.0310
-3.4576,-2.2373,5.9902
-3.4576,-2.1017,5.9492
-3.4576,-1.9661,5.9078
-3.4576,-1.8305,5.8656
-3.4576,-1.6949,5.8221
-3.4576,-1.5593,5.7772
-3.4576,-1.4237,5.7302
-3.4576,-1.2881,5.6810
-3.4576,-1.1525,5.6290
-3.4576,-1.0169,5.5741
-3.4576,-0.8814,5.5159
-3.4576,-0.7458,5.4543
-3.4576,-0.6102,5.3892
-3.4576,-0.4746,5.3206
-3.4576,-0.3390,5.2488
-3.4576,-0.2034,5.1740
-3.4576,-0.0678,5.0968
-3.4576,0.0678,5.0178
-3.4576,0.2034,4.9378
-3.4576,0.3390,4.8578
-3.4576,0.4746,4.7789
-3.4576,0.6102,4.7023
-3.4576,0.7458,4.6294
-3.4576,0.8814,4.5615
-3.4576,1.0169,4.5001
-3.4576,1.1525,4.4466
-3.4576,1.2881,4.4022
-3.4576,1.4237,4.3684
-3.4576,1.5593,4.3460
-3.4576,1.6949,4.3362
-3.4576,1.8305,4.3394
-3.4576,1.9661,4.3563
-3.4576,2.1017,4.3870
-3.4576,2.2373,4.4314
-3.4576,2.3729,4.4893
-3.4576,2.5085,4.5600
-3.4576,2.6441,4.6427
-3.4576,2.7797,4.7365
-3.4576,2.9153,4.8402
-3.4576,3.0508,4.9524
-3.4576,3.1864,5.0719
-3.4576,3.3220,5.1972
-3.4576,3.4576,5.3268
-3.4576,3.5932,5.4595
-3.4576,3.7288,5.5939
-3.4576,3.8644,5.7288
-3.4576,4.0000,5.8633
-3.3220,-4.0000,6.5427
-3.3220,-3.8644,6.4880
-3.3220,-3.7288,6.4350
-3.3220,-3.5932,6.3835
-3.3220,-3.4576,6.3337
-3.3220,-3.3220,6.2853
-3.3220,-3.1864,6.2383
-3.3220,-3.0508,6.1926
-3.3220,-2.9153,6.1480
-3.3220,-2.7797,6.1045
-3.3220,-2.6441,6.0618
-3.3220,-2.5085,6.0197
-3.3220,-2.3729,5.9780
-3.3220,-2.2373,5.9363
-3.3220,-2.1017,5.8944
-3.3220,-1.9661,5.8519
-3.3220,-1.8305,5.8084
-3.3220,-1.6949,5.7635
-3.3220,-1.5593,5.7168
-3.3220,-1.4237,5.6679
-3.3220,-1.2881,5.6163
-3.3220,-1.1525,5.5617
-3.3220,-1.0169,5.5038
-3.3220,-0.8814,5.4422
-3.3220,-0.7458,5.3768
-3.3220,-0.6102,5.3074
-3.3220,-0.4746,5.2343
-3.3220,-0.3390,5.1574
-3.3220,-0.2034,5.0773
-3.3220,-0.0678,4.9944
-3.3220,0.0678,4.9093
-3.3220,0.2034,4.8231
-3.3220,0.3390,4.7367
-3.3220,0.4746,4.6513
-3.3220,0.6102,4.5683
-3.3220,0.7458,4.4890
-3.3220,0.8814,4.4151
-3.3220,1.0169,4.3479
-3.3220,1.1525,4.2892
-3.3220,1.2881,4.2401
-3.3220,1.4237,4.2022
-3.3220,1.5593,4.1766
-3.3220,1.6949,4.1643
-3.3220,1.8305,4.1660
-3.3220,1.9661,4.1822
-3.3220,2.1017,4.2132
-3.3220,2.2373,4.2588
-3.3220,2.3729,4.3188
-3.3220,2.5085,4.3924
-3.3220,2.6441,4.4789
-3.3220,2.7797,4.5772
-3.3220,2.9153,4.6860
-3.3220,3.0508,4.8038
-3.3220,3.1864,4.9293
-3.3220,3.3220,5.0610
-3.3220,3.4576,5.1972
-3.3220,3.5932,5.3365
-3.3220,3.7288,5.4775
-3.3220,3.8644,5.6190
-3.3220,4.0000,5.7598
-3.1864,-4.0000,6.4959
-3.1864,-3.8644,6.4409
-3.1864,-3.7288,6.3875
-3.1864,-3.5932,6.3357
-3.1864,-3.4576,6.2855
-3.1864,-3.3220,6.2367
-3.1864,-3.1864,6.1893
-3.1864,-3.0508,6.1431
-3.1864,-2.9153,6.0981
-3.1864,-2.7797,6.0540
-3.1864,-2.6441,6.0108
-3.1864,-2.5085,5.9680
-3.1864,-2.3729,5.9256
-3.1864,-2.2373,5.8831
-3.1864,-2.1017,5.8403
-3.1864,-1.9661,5.7967
-3.1864,-1.8305,5.7520
-3.1864,-1.6949,5.7057
-3.1864,-1.5593,5.6574
-3.1864,-1.4237,5.6065
-3.1864,-1.2881,5.5528
-3.1864,-1.1525,5.4956
-3.1864,-1.0169,5.4348
-3.1864,-0.8814,5.3700
-3.1864,-0.7458,5.3010
-3.1864,-0.6102,5.2277
-3.1864,-0.4746,5.1501
-3.1864,-0.3390,5.0685
-3.1864,-0.2034,4.9832
-3.1864,-0.0678,4.8948
-3.1864,0.0678,4.8040
-3.1864,0.2034,4.7118
-3.1864,0.3390,4.6192
-3.1864,0.4746,4.5276
-3.1864,0.6102,4.4384
-3.1864,0.7458,4.3531
-3.1864,0.8814,4.2733
-3.1864,1.0169,4.2006
-3.1864,1.1525,4.1368
-3.1864,1.2881,4.0832
-3.1864,1.4237,4.0415
-3.1864,1.5593,4.0127
-3.1864,1.6949,3.9980
-3.1864,1.8305,3.9982
-3.1864,1.9661,4.0138
-3.1864,2.1017,4.0451
-3.1864,2.2373,4.0919
-3.1864,2.3729,4.1539
-3.1864,2.5085,4.2304
-3.1864,2.6441,4.3205
-3.1864,2.7797,4.4231
-3.1864,2.9153,4.5369
-3.1864,3.0508,4.6602
-3.1864,3.1864,4.7916
-3.1864,3.3220,4.9293
-3.1864,3.4576,5.0719
-3.1864,3.5932,5.2177
-3.1864,3.7288,5.3651
-3.1864,3.8644,5.5130
-3.1864,4.0000,5.6600
-3.0508,-4.0000,6.4502
-3.0508,-3.8644,6.3948
-3.0508,-3.7288,6.3410
-3.0508,-3.5932,6.2888
-3.0508,-3.4576,6.2381
-3.0508,-3.3220,6.1888
-3.0508,-3.1864,6.1409
-3.0508,-3.0508,6.0942
-3.0508,-2.9153,6.0486
-3.0508,-2.7797,6.0040
-3.0508,-2.6441,5.9601
-3.0508,-2.5085,5.9167
-3.0508,-2.3729,5.8736
-3.0508,-2.2373,5.8303
-3.0508,-2.1017,5.7866
-3.0508,-1.9661,5.7420
-3.0508,-1.8305,5.6961
-3.0508,-1.6949,5.6485
-3.0508,-1.5593,5.5986
-3.0508,-1.4237,5.5460
-3.0508,-1.2881,5.4902
-3.0508,-1.1525,5.4308
-3.0508,-1.0169,5.3674
-3.0508,-0.8814,5.2996
-3.0508,-0.7458,5.2272
-3.0508,-0.6102,5.1502
-3.0508,-0.4746,5.0685
-3.0508,-0.3390,4.9824
-3.0508,-0.2034,4.8923
-3.0508,-0.0678,4.7988
-3.0508,0.0678,4.7026
-3.0508,0.2034,4.6048
-3.0508,0.3390,4.5065
-3.0508,0.4746,4.4090
-3.0508,0.6102,4.3140
-3.0508,0.7458,4.2230
-3.0508,0.8814,4.1377
-3.0508,1.0169,4.0599
-3.0508,1.1525,3.9913
-3.0508,1.2881,3.9335
-3.0508,1.4237,3.8881
-3.0508,1.5593,3.8563
-3.0508,1.6949,3.8394
-3.0508,1.8305,3.8382
-3.0508,1.9661,3.8532
-3.0508,2.1017,3.8847
-3.0508,2.2373,3.9327
-3.0508,2.3729,3.9966
-3.0508,2.5085,4.0759
-3.0508,2.6441,4.1695
-3.0508,2.7797,4.2763
-3.0508,2.9153,4.3947
-3.0508,3.0508,4.5232
-3.0508,3.1864,4.6602
-3.0508,3.3220,4.8038
-3.0508,3.4576,4.9524
-3.0508,3.5932,5.1043
-3.0508,3.7288,5.2579
-3.0508,3.8644,5.4118
-3.0508,4.0000,5.5646
-2.9153,-4.0000,6.4054
-2.9153,-3.8644,6.3496
-2.9153,-3.7288,6.2952
-2.9153,-3.5932,6.2425
-2.9153,-3.4576,6.1912
-2.9153,-3.3220,6.1413
-2.9153,-3.1864,6.0928
-2.9153,-3.0508,6.0455
-2.9153,-2.9153,5.9993
-2.9153,-2.7797,5.9540
-2.9153,-2.6441,5.9095
-2.9153,-2.5085,5.8654
-2.9153,-2.3729,5.8215
-2.9153,-2.2373,5.7775
-2.9153,-2.1017,5.7329
-2.9153,-1.9661,5.6874
-2.9153,-1.8305,5.6405
-2.9153,-1.6949,5.5916
-2.9153,-1.5593,5.5404
-2.9153,-1.4237,5.4862
-2.9153,-1.2881,5.4286
-2.9153,-1.1525,5.3671
-2.9153,-1.0169,5.3013
-2.9153,-0.8814,5.2309
-2.9153,-0.7458,5.1556
-2.9153,-0.6102,5.0752
-2.9153,-0.4746,4.9899
-2.9153,-0.3390,4.8998
-2.9153,-0.2034,4.8054
-2.9153,-0.0678,4.7072
-2.9153,0.0678,4.6061
-2.9153,0.2034,4.5032
-2.9153,0.3390,4.3996
-2.9153,0.4746,4.2969
-2.9153,0.6102,4.1965
-2.9153,0.7458,4.1003
-2.9153,0.8814,4.0100
-2.9153,1.0169,3.9274
-2.9153,1.1525,3.8544
-2.9153,1.2881,3.7927
-2.9153,1.4237,3.7440
-2.9153,1.5593,3.7095
-2.9153,1.6949,3.6906
-2.9153,1.8305,3.6881
-2.9153,1.9661,3.7026
-2.9153,2.1017,3.7344
-2.9153,2.2373,3.7834
-2.9153,2.3729,3.8492
-2.9153,2.5085,3.9311
-2.9153,2.6441,4.0279
-2.9153,2.7797,4.1385
-2.9153,2.9153,4.2613
-2.9153,3.0508,4.3947
-2.9153,3.1864,4.5369
-2.9153,3.3220,4.6860
-2.9153,3.4576,4.8402
-2.9153,3.5932,4.9978
-2.9153,3.7288,5.1571
-2.9153,3.8644,5.3166
-2.9153,4.0000,5.4749
-2.7797,-4.0000,6.3614
-2.7797,-3.8644,6.3049
-2.7797,-3.7288,6.2499
-2.7797,-3.5932,6.1964
-2.7797,-3.4576,6.1445
-2.7797,-3.3220,6.0939
-2.7797,-3.1864,6.0447
-2.7797,-3.0508,5.9967
-2.7797,-2.9153,5.9498
-2.7797,-2.7797,5.9038
-2.7797,-2.6441,5.8585
-2.7797,-2.5085,5.8137
-2.7797,-2.3729,5.7691
-2.7797,-2.2373,5.7243
-2.7797,-2.1017,5.6789
-2.7797,-1.9661,5.6325
-2.7797,-1.8305,5.5846
-2.7797,-1.6949,5.5348
-2.7797,-1.5593,5.4823
-2.7797,-1.4237,5.4268
-2.7797,-1.2881,5.3677
-2.7797,-1.1525,5.3045
-2.7797,-1.0169,5.2368
-2.7797,-0.8814,5.1641
-2.7797,-0.7458,5.0862
-2.7797,-0.6102,5.0030
-2.7797,-0.4746,4.9145
-2.7797,-0.3390,4.8210
-2.7797,-0.2034,4.7228
-2.7797,-0.0678,4.6206
-2.7797,0.0678,4.5153
-2.7797,0.2034,4.4079
-2.7797,0.3390,4.2997
-2.7797,0.4746,4.1923
-2.7797,0.6102,4.0873
-2.7797,0.7458,3.9864
-2.7797,0.8814,3.8917
-2.7797,1.0169,3.8049
-2.7797,1.1525,3.7280
-2.7797,1.2881,3.6629
-2.7797,1.4237,3.6112
-2.7797,1.5593,3.5743
-2.7797,1.6949,3.5536
-2.7797,1.8305,3.5500
-2.7797,1.9661,3.5641
-2.7797,2.1017,3.5962
-2.7797,2.2373,3.6461
-2.7797,2.3729,3.7136
-2.7797,2.5085,3.7978
-2.7797,2.6441,3.8976
-2.7797,2.7797,4.0117
-2.7797,2.9153,4.1385
-2.7797,3.0508,4.2763
-2.7797,3.1864,4.4231
-2.7797,3.3220,4.5772
-2.7797,3.4576,4.7365
-2.7797,3.5932,4.8993
-2.7797,3.7288,5.0638
-2.7797,3.8644,5.2283
-2.7797,4.0000,5.3916
-2.6441,-4.0000,6.3178
-2.6441,-3.8644,6.2605
-2.6441,-3.7288,6.2047
-2.6441,-3.5932,6.1504
-2.6441,-3.4576,6.0976
-2.6441,-3.3220,6.0462
-2.6441,-3.1864,5.9961
-2.6441,-3.0508,5.9473
-2.6441,-2.9153,5.8995
-2.6441,-2.7797,5.8528
-2.6441,-2.6441,5.8067
-2.6441,-2.5085,5.7611
-2.6441,-2.3729,5.7158
-2.6441,-2.2373,5.6702
-2.6441,-2.1017,5.6241
-2.6441,-1.9661,5.5769
-2.6441,-1.8305,5.5282
-2.6441,-1.6949,5.4775
-2.6441,-1.5593,5.4241
-2.6441,-1.4237,5.3676
-2.6441,-1.2881,5.3073
-2.6441,-1.1525,5.2427
-2.6441,-1.0169,5.1734
-2.6441,-0.8814,5.0990
-2.6441,-0.7458,5.0191
-2.6441,-0.6102,4.9337
-2.6441,-0.4746,4.8427
-2.6441,-0.3390,4.7463
-2.6441,-0.2034,4.6451
-2.6441,-0.0678,4.5397
-2.6441,0.0678,4.4308
-2.6441,0.2034,4.3197
-2.6441,0.3390,4.2077
-2.6441,0.4746,4.0964
-2.6441,0.6102,3.9874
-2.6441,0.7458,3.8827
-2.6441,0.8814,3.7842
-2.6441,1.0169,3.6939
-2.6441,1.1525,3.6137
-2.6441,1.2881,3.5456
-2.6441,1.4237,3.4914
-2.6441,1.5593,3.4525
-2.6441,1.6949,3.4303
-2.6441,1.8305,3.4258
-2.6441,1.9661,3.4395
-2.6441,2.1017,3.4719
-2.6441,2.2373,3.5228
-2.6441,2.3729,3.5918
-2.6441,2.5085,3.6780
-2.6441,2.6441,3.7804
-2.6441,2.7797,3.8976
-2.6441,2.9153,4.0279
-2.6441,3.0508,4.1695
-2.6441,3.1864,4.3205
-2.6441,3.3220,4.4789
-2.6441,3.4576,4.6427
-2.6441,3.5932,4.8100
-2.6441,3.7288,4.9790
-2.6441,3.8644,5.1481
-2.6441,4.0000,5.3156
-2.5085,-4.0000,6.2743
-2.5085,-3.8644,6.2161
-2.5085,-3.7288,6.1593
-2.5085,-3.5932,6.1040
-2.5085,-3.4576,6.0501
-2.5085,-3.3220,5.9977
-2.5085,-3.1864,5.9466
-2.5085,-3.0508,5.8968
-2.5085,-2.9153,5.8481
-2.5085,-2.7797,5.8004
-2.5085,-2.6441,5.7534
-2.5085,-2.5085,5.7070
-2.5085,-2.3729,5.6609
-2.5085,-2.2373,5.6146
-2.5085,-2.1017,5.5678
-2.5085,-1.9661,5.5200
-2.5085,-1.8305,5.4707
-2.5085,-1.6949,5.4193
-2.5085,-1.5593,5.3653
-2.5085,-1.4237,5.3080
-2.5085,-1.2881,5.2469
-2.5085,-1.1525,5.1815
-2.5085,-1.0169,5.1111
-2.5085,-0.8814,5.0355
-2.5085,-0.7458,4.9542
-2.5085,-0.6102,4.8672
-2.5085,-0.4746,4.7744
-2.5085,-0.3390,4.6761
-2.5085,-0.2034,4.5726
-2.5085,-0.0678,4.4647
-2.5085,0.0678,4.3532
-2.5085,0.2034,4.2393
-2.5085,0.3390,4.1244
-2.5085,0.4746,4.0100
-2.5085,0.6102,3.8980
-2.5085,0.7458,3.7903
-2.5085,0.8814,3.6888
-2.5085,1.0169,3.5956
-2.5085,1.1525,3.5129
-2.5085,1.2881,3.4425
-2.5085,1.4237,3.3863
-2.5085,1.5593,3.3458
-2.5085,1.6949,3.3224
-2.5085,1.8305,3.3172
-2.5085,1.9661,3.3307
-2.5085,2.1017,3.3634
-2.5085,2.2373,3.4151
-2.5085,2.3729,3.4854
-2.5085,2.5085,3.5734
-2.5085,2.6441,3.6780
-2.5085,2.7797,3.7978
-2.5085,2.9153,3.9311
-2.5085,3.0508,4.0759
-2.5085,3.1864,4.2304
-2.5085,3.3220,4.3924
-2.5085,3.4576,4.5600
-2.5085,3.5932,4.7311
-2.5085,3.7288,4.9039
-2.5085,3.8644,5.0766
-2.5085,4.0000,5.2478
-2.3729,-4.0000,6.2307
-2.3729,-3.8644,6.1712
-2.3729,-3.7288,6.1133
-2.3729,-3.5932,6.0567
-2.3729,-3.4576,6.0016
-2.3729,-3.3220,5.9479
-2.3729,-3.1864,5.8956
-2.3729,-3.0508,5.8446
-2.3729,-2.9153,5.7948
-2.3729,-2.7797,5.7460
-2.3729,-2.6441,5.6981
-2.3729,-2.5085,5.6508
-2.3729,-2.3729,5.6038
-2.3729,-2.2373,5.5568
-2.3729,-2.1017,5.5094
-2.3729,-1.9661,5.4611
-2.3729,-1.8305,5.4113
-2.3729,-1.6949,5.3595
-2.3729,-1.5593,5.3051
-2.3729,-1.4237,5.2475
-2.3729,-1.2881,5.1861
-2.3729,-1.1525,5.1203
-2.3729,-1.0169,5.0495
-2.3729,-0.8814,4.9733
-2.3729,-0.7458,4.8914
-2.3729,-0.6102,4.8035
-2.3729,-0.4746,4.7098
-2.3729,-0.3390,4.6103
-2.3729,-0.2034,4.5056
-2.3729,-0.0678,4.3961
-2.3729,0.0678,4.2830
-2.3729,0.2034,4.1673
-2.3729,0.3390,4.0504
-2.3729,0.4746,3.9340
-2.3729,0.6102,3.8199
-2.3729,0.7458,3.7101
-2.3729,0.8814,3.6065
-2.3729,1.0169,3.5114
-2.3729,1.1525,3.4269
-2.3729,1.2881,3.3548
-2.3729,1.4237,3.2972
-2.3729,1.5593,3.2556
-2.3729,1.6949,3.2315
-2.3729,1.8305,3.2258
-2.3729,1.9661,3.2392
-2.3729,2.1017,3.2722
-2.3729,2.2373,3.3246
-2.3729,2.3729,3.3959
-2.3729,2.5085,3.4854
-2.3729,2.6441,3.5918
-2.3729,2.7797,3.7136
-2.3729,2.9153,3.8492
-2.3729,3.0508,3.9966
-2.3729,3.1864,4.1539
-2.3729,3.3220,4.3188
-2.3729,3.4576,4.4893
-2.3729,3.5932,4.6634
-2.3729,3.7288,4.8392
-2.3729,3.8644,5.0149
-2.3729,4.0000,5.1889
-2.2373,-4.0000,6.1865
-2.2373,-3.8644,6.1256
-2.2373,-3.7288,6.0662
-2.2373,-3.5932,6.0081
-2.2373,-3.4576,5.9515
-2.2373,-3.3220,5.8963
-2.2373,-3.1864,5.8425
-2.2373,-3.0508,5.7901
-2.2373,-2.9153,5.7389
-2.2373,-2.7797,5.6889
-2.2373,-2.6441,5.6398
-2.2373,-2.5085,5.5916
-2.2373,-2.3729,5.5438
-2.2373,-2.2373,5.4961
-2.2373,-2.1017,5.4481
-2.2373,-1.9661,5.3994
-2.2373,-1.8305,5.3493
-2.2373,-1.6949,5.2974
-2.2373,-1.5593,5.2431
-2.2373,-1.4237,5.1855
-2.2373,-1.2881,5.1243
-2.2373,-1.1525,5.0586
-2.2373,-1.0169,4.9880
-2.2373,-0.8814,4.9120
-2.2373,-0.7458,4.8302
-2.2373,-0.6102,4.7424
-2.2373,-0.4746,4.6486
-2.2373,-0.3390,4.5489
-2.2373,-0.2034,4.4439
-2.2373,-0.0678,4.3340
-2.2373,0.0678,4.2203
-2.2373,0.2034,4.1039
-2.2373,0.3390,3.9862
-2.2373,0.4746,3.8689
-2.2373,0.6102,3.7537
-2.2373,0.7458,3.6428
-2.2373,0.8814,3.5382
-2.2373,1.0169,3.4421
-2.2373,1.1525,3.3565
-2.2373,1.2881,3.2836
-2.2373,1.4237,3.2252
-2.2373,1.5593,3.1831
-2.2373,1.6949,3.1585
-2.2373,1.8305,3.1526
-2.2373,1.9661,3.1662
-2.2373,2.1017,3.1995
-2.2373,2.2373,3.2524
-2.2373,2.3729,3.3246
-2.2373,2.5085,3.4151
-2.2373,2.6441,3.5228
-2.2373,2.7797,3.6461
-2.2373,2.9153,3.7834
-2.2373,3.0508,3.9327
-2.2373,3.1864,4.0919
-2.2373,3.3220,4.2588
-2.2373,3.4576,4.4314
-2.2373,3.5932,4.6077
-2.2373,3.7288,4.7856
-2.2373,3.8644,4.9633
-2.2373,4.0000,5.1394
-2.1017,-4.0000,6.1413
-2.1017,-3.8644,6.0787
-2.1017,-3.7288,6.0175
-2.1017,-3.5932,5.9576
-2.1017,-3.4576,5.8992
-2.1017,-3.3220,5.8421
-2.1017,-3.1864,5.7866
